Title,Rating,Genre,Type,Episode Count,English,Romaji,漢字,Synopsis
Detective Conan Movie 16: The Eleventh Striker,7.86,"Adventure, Comedy, Mystery, Police, Shounen, Sports",Movie,1,Detective Conan Movie 16: The Eleventh Striker,gekijouban meitanteikonan 11hitomenosutoraikaa,劇場版　名探偵コナン　11人目のストライカー,"In Touto Stadium, a J. League soccer match is taking place. During this, Detective Kogorou Mouri receives a bomb threat from an unknown caller and a mysterious riddle that points to its location. Conan Edogawa must now save the fans of the game before the time runs out.

Fortunately, with Conan's quick actions and clever thinking, the bomb is discovered and the explosion is evaded. The culprit does not stop there; Detective Kogorou is informed of another hidden bomb set to explode at a large event in the city. Forced into a race against time, with thousands of more lives at stake, Conan must decipher another riddle, discover the place of the bomb, and catch the culprit in order to escape a terrible tragedy."
Detective Conan Movie 17: Private Eye in the Distant Sea,7.84,"Adventure, Comedy, Mystery, Police, Shounen",Movie,1,Detective Conan Movie 17: Private Eye in the Distant Sea,meitanteikonan zekkainotantei,名探偵コナン 絶海の探偵,"The warship Aegis Destroyer is conducting public exercises in Maizuru Bay where, coincidentally, a suspicious foreign ship was recently spotted. Conan Edogawa, Ran Mouri, Kogorou Mouri, Sonoko Suzuki, and the Detective Boys all receive a ticket to attend this event. However, while the ongoing military operations are underway, one of the crew members comes across a lieutenant's severed left arm. Conan later discovers that a foreign spy may have infiltrated the warship to obtain classified information by any means necessary. If the information were to leak, Japan's line of defense would be exposed, leaving the country unprotected from hostile attack.

With the help of the police at sea while other friends and allies investigate on the mainland, Conan must now prevent this national crisis and identify the spy for the sake of Japan."
Detective Conan Movie 18: The Sniper from Another Dimension,8.17,"Action, Mystery, Police, Shounen",Movie,1,Detective Conan Movie 18: The Sniper from Another Dimension,meitanteikonan ijigennosogekite(sunaipaa),名探偵コナン　異次元の狙撃手（スナイパー）,"One morning, at the observation deck of the Bell Tree Tower, a man is suddenly shot dead by an unknown sniper. Conan Edogawa, who happened to be visiting as the murder occurred, rushes to apprehend the sniper but fails to do so. He later learns that the suspect for the incident, Timothy Hunter, is a former member of the Navy Special Ops squad and was already being investigated for a previous murder case. The FBI believes that there are at least three people Timothy wants dead. However, after the deaths of two of them, Timothy himself is killed, throwing the investigation into disarray.

As they lose their only lead, news about the assassinations spreads across Tokyo, leaving the city in a state of panic. It is up to Conan to find and catch the culprit in the hope of putting an end to this sniping spree terror."
Detective Conan Movie 19: The Hellfire Sunflowers,7.77,"Action, Mystery, Police, Shounen",Movie,1,Detective Conan: The Sunflowers of Inferno,eiga meitanteikonan goukanohimawari,映画 名探偵コナン 業火の向日葵,"Kaitou Kid and Vincent van Gogh's artworks feature heavily in the movie, according to an interview with Gosho Aoyama. The teaser preview at the end of Dimensional Sniper included references to van Gogh's ""Sunflowers"" series.

(Source: Wikipedia)"
Detective Conan Movie 20: The Darkest Nightmare,8.32,"Action, Mystery, Police, Shounen",Movie,1,Detective Conan Movie 20: The Darkest Nightmare,gekijouban meitanteikonan junkuronoakumu(naitomea),劇場版　名探偵コナン　純黒の悪夢（ナイトメア）,"On a dark night, the Japanese police is raided by a spy. Different countries' intelligence agencies—such as England's MI6, Germany's BND, and America's CIA—as well as the FBI's secret files are going to be taken, but public safety officers lead by Tooru Amuro arrive just in time. The spy steals a car and escapes. The spy and Amuro are then locked in a dead heat on the highway, and just as it is about to cause an accident with multiple cars, the spy's car is hit by FBI agent Shuichi Akai's rifle bullet and falls of the roadway.
The next day, Conan and his friends go to a newly-remodeled aquarium in Tokyo. Under the main attraction, a Ferris wheel, Conan finds an attractive woman alone and injured. Her left and right eyes are different colors.

But the woman is in a state of amnesia where she doesn't even remember her own name, and the cellphone she's carrying is broken. Conan and his friends promise to help her regain her memory, so they stay with her.

Throughout all this, Vermouth is watching behind the scenes. Afterwards, she pulls out a silencer and speaks into an attached intercom, ""It's as planned, Gin."""
Detective Conan: Conan vs. Kid - Jet Black Sniper,7.66,"Adventure, Comedy, Mystery, Police, Shounen",Movie,1,Detective Conan: Conan vs. Kid - Jet Black Sniper,meitanteikonan konanvskiddo shikkokunosogekimono(sunaipaa),名探偵コナン コナンvsキッド 漆黒の狙撃者(スナイパー),"3D IMAX movie, shown only at the Suntory Museum in Osaka.

The story involves a heist taking place on 15 Aug at the Takaramachi Jewelry Museum where a jewel worth 1 Billion Yen is stolen."
Devil May Cry,7.15,"Action, Demons, Fantasy",TV,12,Devil May Cry,debiru mei kurai,デビル メイ クライ,"Patty Lowell—the lost heir of a prestigious family—is found at an orphanage, and J.D. Morrison brings her to his acquaintance Dante, the owner of a business called ""Devil May Cry."" Dante takes on so-called ""odd jobs,"" and at Morrison's request, he agrees to become a bodyguard for Patty. Begrudgingly, he sets out to deliver Patty to her family, though he is a bit annoyed with a job that essentially amounts to babysitting.

While Dante seems like a lazy good-for-nothing, he is actually a prolific demon hunter, which comes in handy when demons begin pursuing Patty. Soon enough, Dante realizes that there is more to this case than meets the eye, and he makes use of his particular skill set in order to keep Patty safe."
Devil Survivor 2 The Animation,7.06,"Action, Demons, Supernatural",TV,13,Devil Survivor 2 The Animation,debirusabaibaa2 THE ANIMATION,デビルサバイバー２ THE ANIMATION,"The countdown to extinction begins on Sunday with the arrival of the Septentriones, otherworldly invaders set on the eradication of mankind. Caught in the crossfire, Hibiki Kuze and his friends join in the war for humanity's survival by signing contracts with demons to become ""Devil Summoners."" Soon, their abilities attract the attention of JP's, an underground agency led by Yamato Houtsuin. Once recruited into JP's, Hibiki and his friends fight and bond alongside other ordinary citizens who are Devil Summoners. 

However, with each new day, another Septentrione appears to wreak havoc upon Japan. Even if many lives are lost in the process, before that night ends, the young summoners must defeat the invaders at all costs."
Devilman,6.55,"Action, Demons, Horror, Supernatural",TV,39,Devilman,debiruman,デビルマン,"Devilman features Akira Fudo, a shy and timid teenager who has gone mountain climbing in the Himalayas with his father. While in the middle of the expedition, both father and son are killed in a tragic accident. Akira's body is found and possessed by the demon soldier Devilman, who uses his new human form as a disguise in order to fulfill his mission of causing chaos on Earth in order to pave the way for a demonic invasion of the planet.

Before his mission can begin in earnest, Devilman meets Akira's childhood friend Miki Makimura and quickly falls in love with her. Devilman resolves to protect Miki and humanity as a whole by battling against his fellow demons. Demon Tribe leader Zennon becomes greatly angered at Devilman's betrayal and is quick to send Devilman's former comrades to destroy him. The other demons soon learn that Miki is precious to Devilman and he must now work to protect her, as well as protect himself. Will the power of love be able to overcome that of true evil?"
Devilman Lady,6.92,"Action, Drama, Horror, Psychological",TV,26,The Devil Lady,debirumanredii,デビルマンレディー,"Fudo Jun is a beautiful supermodel who is idolized by many. She also has a dark secret that not even she knows about at first, for within her veins run the genes that hold the next step in the evolution of mankind. The same blood as the beastlike superhumans that terrorize the city. Unlike the rest of them, though, Jun has managed to hold a tenuous grip onto her humanity, and she is recruited by the mysterious Asuka Ran, member of a secret organization within the government, aimed at controlling, if not eliminating, these berserk destroyers of mankind. Jun, as Devilman Lady, must now exterminate her own kind, but how much longer can she keep her sanity in a situation she never chose in the first place?

(Source: ANN)"
Devour Dinner,5.39,"Dementia, Fantasy",Movie,1,Devour Dinner,dinaawomusaborikuu,ディナーをむさぼり食う,Various scenes of predation.
Di Gi Charat,6.85,"Comedy, Fantasy, Sci-Fi",TV,16,Di Gi Charat,de・jide・jikyaratto,デ・ジ･キャラット,"Having infiltrated Earth with blind ambitions of stardom, Princess Di Gi Charat—also known as Dejiko—of the planet Di Gi Charat quickly realizes that money makes the world go around, of which she has none. On a never-ending, futile mission to change her socioeconomic status, Dejiko, her sidekick Petit Charat ""Puchiko"", her royal guardian Gema, and her competitive coworker Hikaru Usada try everything in their power to overturn the soul-crushing mundanity of working in retail—all in a series of surreal yet ironically relatable attempts at spicing up their daily lives."
Di Gi Charat Nyo,7.32,"Comedy, Fantasy, Sci-Fi",TV,104,Di Gi Charat Nyo,de・ji・kyarattonyo,デ・ジ・キャラットにょ,"Di Gi Charat (a.k.a. Dejiko) - along with Petit Charat (a.k.a. Puchiko) and Gema - travels to Earth as part of her training to become a full-fledged princess. They crash on a small town in Japan, where they meet the Omocha brothers (who spend most of their time thinking how cute Puchiko is) and Mr. &amp; Mrs. Ankoro (an elderly couple that makes Japanese sweets).

(Source: ANN)"
Di Gi Charat: Hoshi no Tabi,6.78,Comedy,Movie,1,Di Gi Charat Movie: A Trip To The Planet,Di Gi Charat: Hoshi no Tabi,劇場版　Di Gi Charat[デ・ジ・キャラット]　星の旅,"Dejiko decided to take a vacation and visit her home, Planet Di Gi Charat, together with Puchiko, Gema, and (accidentally) Rabi~en~Rose. However, Piyoko and her aids would not let go this chance to capture her. 

(Source: ANN)"
Diamond no Ace,8.25,"Comedy, School, Shounen, Sports",TV,75,Ace of Diamond,daiyanoA[eesu],ダイヤのA[エース],"With a stray pitch that completely missed the batter, Eijun Sawamura loses his final middle school baseball game. Frustrated by this defeat, Eijun and his teammates vow to reach the national tournament once they are in high school. But everything changes when a scout unexpectedly invites him to Tokyo's prestigious Seidou High School after seeing the potential in his unusual pitching style. Encouraged by his teammates, Eijun accepts the offer, ready to improve his skills and play at a much more competitive level of baseball.

However, now surrounded by a large number of skilled players, Eijun struggles to find his place on the team. He declares that he will one day become the team's ace, but that's only if fellow first year Satoru Furuya doesn't take the title first, with his breakneck fastballs that earn him a coveted spot on the starting roster. With the addition of these talented new players to an already powerful lineup, the Seidou baseball team aims to become the best in Japan, facing off against a number of formidable foes that stand in their way."
Diamond no Ace: Second Season,8.5,"Comedy, School, Shounen, Sports",TV,51,Ace of Diamond: Second Season,daiyanoA[eesu]~Second Season~,ダイヤのA[エース]～Second Season～,"After the National Tournament, the Seidou High baseball team moves forward with uncertainty as the Fall season quickly approaches. In an attempt to build a stronger team centered around their new captain, fresh faces join the starting roster for the very first time. Previous losses weigh heavily on the minds of the veteran players as they continue their rigorous training, preparing for what will inevitably be their toughest season yet.
 
Rivals both new and old stand in their path as Seidou once again climbs their way toward the top, one game at a time. Needed now more than ever before, Furuya and Eijun must be determined to pitch with all their skill and strength in order to lead their team to victory. And this time, one of these young pitchers may finally claim that coveted title: ""The Ace of Seidou."""
Dibetagurashi: Ahiru no Seikatsu,5.99,"Comedy, Slice of Life",TV,39,Jibeta Life: Duck's Life,Dibetagurashi: Ahiru no Seikatsu,ぢべたぐらし あひるの生活,"The story follows the daily life of a group of birds, including a duck, an old nihilistic great grey owl, and a gluttonous Caique parrot.

(Source: ANN)"
Digimon Adventure,7.89,"Action, Adventure, Comedy, Fantasy, Kids",TV,54,Digimon: Digital Monsters,dejimon'adobenchaa,デジモンアドベンチャー,"When a group of seven children go to summer camp, the last thing that they expect is snow falling in July. In the confusion that follows this phenomenon, they each receive an odd device that transports them to another world. As soon as they wake up in this new world, they encounter strange creatures who call themselves ""Digimon."" The Digimon tell them that they've landed in the ""Digital World,"" far from home.

With only the Digimon and the ""Digivices"" as protection, the seven children set off to find their way home and learn the reason why they were brought here. Led by the impulsive Taichi Yagami and his hungry Digimon partner Agumon, this group will have to fight unknown evils as they discover more about this outlandish Digital World."
Digimon Adventure 02,7.37,"Action, Adventure, Comedy, Drama, Fantasy, Kids",TV,50,Digimon Adventure 02,dejimon'adobenchaa02,デジモンアドベンチャー０２,"Taichi Yagami and his friends have moved on to junior high, but by that time, they have lost contact with their Digimon partners. Taichi is therefore surprised to suddenly receive a distress call summoning him to the Digital World. Once there, he learns that Digimon are living in fear of the mysterious Digimon Emperor, who is somehow suppressing their ability to Digivolve!

In the real world, Hikari Yagami and Takeru Takaishi reunite in the same fifth grade class. They share three schoolmates: Daisuke Motomiya, who reminds them both of Taichi; Miyako Inoue, a technical wizard; and Iori Hida, Miyako's neighbor. When these three children receive ""D-3"" Digivices, they—along with Hikari and Takeru, who still possess their own original Digivices—comprise the new generation of ""Chosen Children"" who must save the world once again. With the power of the Armored Digi-Eggs, they must thwart the Digimon Emperor's plans to spread his influence over the entire Digital World."
Digimon Adventure 02 Movies,7.23,"Adventure, Fantasy, Kids, Sci-Fi",Movie,2,Digimon Movie 02 - Digimon Hurricane Touchdown! Supreme Evolution! The Golden Digimentals.,eiga dejimon'adobenchaa02,映画 デジモンアドベンチャー０２,"Years after a young boy in America loses one of his Digimon friends, an evil viral Digimon successfully kidnaps the original Chosen Children. Their younger friends must race against time with their Digimon partners to discover the source of this new menace, and perhaps solve a years-old mystery.

(Source: ANN)"
Digimon Adventure 02: Diablomon no Gyakushuu,7.4,"Adventure, Comedy, Drama, Kids, Sci-Fi",Movie,1,Digimon Adventure 02: Revenge of Diaboromon,Digimon Adventure 02: Diablomon no Gyakushuu,デジモンアドベンチャー02 ディアボロモンの逆襲,"After the events of 02, everything is finally getting back to normal. That is, until a strangely familiar icon starts showing up on computer systems around the Japan. And not just computer systems... TVs, mobile phones, video games; anything with a screen with online capabilities. And this icon seems to be looking for somone... Yagami Taichi, and Ishida Yamato, who defeated it several years before. Yes, it turns out that this jellyfish digimon is in fact Diablomon, the Virus-type Digimon that was defeated in the second movie. But this time, he's learned to make himself physical, and is sending thousands of copies of himself into the real world.

Koushiro and Ken devise a plan to rid the world of the virus once and for all, but it'll take the help of all the Destined, past and present. Once again, it's a race against time to put a stop to Diablomon's plot... but even that is cloaked in shadow.

Will the revival of Omegamon be enough to stop Diablomon a second time, or will the millions of copies prove enough of a power boost to shrug off the ""Digimon Champion of Justice""? Of course, he hasn't seen the new breed of Chosen, nor the new techniques. It's a fight to the finish, with the destruction of Tokyo resting on the line. 

(Source: AniDB)"
Digimon Adventure 3D: Digimon Grand Prix!,6.12,"Action, Adventure, Comedy, Fantasy, Kids, Parody, Sports",Movie,1,Digimon Adventure 3D: Digimon Grand Prix!,dejimon'adobenchaa3D dejimonguranpuri!,デジモンアドベンチャー3D デジモングランプリ！,"Digimon special, Mario Kart style racing."
Digimon Adventure Movie,7.61,"Action, Fantasy, Kids, Sci-Fi",Movie,1,Digimon: The Movie,dejimon'adobenchaa gekijouban,デジモンアドベンチャー 劇場版,"A brother and sister discover the digital world is more than 1s and 0s when a living creature arrives out of the family computer. The adventures of a group of children start with the appearance of a Digital Monster in the real world.

(Source: ANN)"
Digimon Adventure tri. 1: Saikai,7.66,"Action, Adventure, Comedy, Drama",Movie,1,Digimon Adventure tri. Reunion,Digimon Adventure tri. 1: Saikai,デジモンアドベンチャーtri.（トライ）第１章「再会」,"The gate to the Digital World has been closed for three years. Taichi Yagami and his friends have since moved on, and now that he is in his second year of high school, it is time for him to grow up. While everyone else knows what they want to do with their lives, Taichi remains unsure. Meanwhile, the group drifts further apart as they follow their own paths.

One day, a rogue insectoid Digimon called Kuwagamon materializes and disrupts electronics all over the city. Taichi recklessly chases after it and ends up cornered by the attacking Digimon. Suddenly, the Digivice that he still carries—a digital device that serves various purposes including helping one's Digimon partner to evolve—glows, and Agumon appears. The two are able to defeat Kuwagamon, but why did the Digimon cross over to this world in the first place? What is happening in the Digital World, and how exactly does this involve Meiko Mochizuki, the new transfer student in Taichi's class?"
Digimon Adventure tri. 2: Ketsui,7.77,"Action, Adventure, Comedy, Drama",Movie,1,Digimon Adventure tri. Determination,Digimon Adventure tri. 2: Ketsui,デジモンアドベンチャーtri.（トライ）第２章「決意」,"Infected Digimon—digital monsters who have begun acting in a berserk manner and experiencing a bizarre increase in power—are invading the real world. While Maki Himekawa and Daigo Nishijima, agents of the mysterious Incorporated Administrative Agency, attempt to learn more about these disruptive appearances, most of the Chosen Children are busy preparing for Tsukishima General High School's summer festival.

Mimi Tachikawa, having recently returned to Japan after living in the United States for years, struggles to find her footing among her classmates and fellow Chosen Children. Meanwhile, by throwing himself into his studies, Jou Kido has been deliberately avoiding all issues related to Digimon, causing his partner Gomamon to run away. Mimi and Jou's individual actions cause friction within the group even as the threat of infected Digimon still looms over them. Will the two resolve their personal conflicts in time to help their friends fight off the latest threat?"
Digimon Adventure tri. 3: Kokuhaku,8.13,"Action, Adventure, Comedy, Drama",Movie,1,Digimon Adventure tri. Confession,Digimon Adventure tri. 3: Kokuhaku,デジモンアドベンチャーtri.（トライ）第３章「告白」,"The Chosen Children are in shock after the betrayal of Meicoomon, the digital monster who had recently joined their group alongside her human partner, Meiko Mochizuki. Koushirou Izumi is determined to diagnose the infection that took control of Meicoomon. Meanwhile, Takeru Takaishi realizes that his own partner, Patamon, is starting to exhibit alarming symptoms similar to those of other infected Digimon, like Meicoomon.

Just then, the Chosen Children receive a message from the mysterious entity Homeostasis, who informs them that their world is in danger of total destruction—and the Digital World, the home of the Digimon, is too. Homeostasis plans to enact a ""Reboot,"" which will reset all the data that makes up the Digital World and eradicate the infection. However, the Reboot will also erase the memories of all Digimon, including the Children's partners. Can the Chosen Children stop Meicoomon before the Reboot becomes necessary, or is this the end of their time together with their Digimon?"
Digimon Adventure: Bokura no War Game!,7.81,"Adventure, Comedy, Kids, Sci-Fi",Movie,1,Digimon: The Movie,Digimon Adventure: Bokura no War Game!,デジモンアドベンチャー ぼくらのウォーゲーム！,"This movie takes place after the Adventure series ends. It begins when a new Digimon Egg is found on the internet, and manages to penetrate into almost every computer system in Japan. When the egg hatches, it's identified as a new kind of Digimon, a Virus-type. It sustains itself by eating data from various system, and starts wreaking havok in Japan. As it consumes more and more data, it continues to evolve. And Taichi and Koushiro decide it's time to stop it.

They're off, sending Agumon and Tentomon through the internet to fight off this new enemy. But, with the Virus controlling systems like the American military, all too soon, this digital menace may become all too real. Calling in the help of Yamato and Takeru, they hope that they can stop what's already begun, and maybe save this world a second time.

(Source: AniDB)"
Digimon Frontier,7.25,"Action, Adventure, Comedy, Drama, Fantasy, Shounen",TV,50,Digimon Frontier,dejimonfuronteia,デジモンフロンティア,"With five new kids and an exciting new mission in the Digital World, Digimon Frontier brings back all the great action and adventure of the last three seasons. Takuya, Kouji, Izumi, Junpei. and Tomoki meet each other in a train that takes them to the Digital World where a war against evil is being fought. The Angel digimon, Cherubimon, one of The three angels sent to save the World from the power-hungry Lucemon, has turned to the dark side and the entire Digital World is in peril. To fight this great battle, the five CHOSEN ONES must find the Densetsu no Spirit (Legendary Spirit)."
Digimon Frontier: Ornismon Fukkatsu!!,7.02,"Adventure, Comedy, Drama, Fantasy, Shounen",Movie,1,Digimon Frontier: Island of Lost Digimon,Digimon Frontier: Ornismon Fukkatsu!!,デジモンフロンティア 古代デジモン（オニスモン）復活！！,"The five digi-destined children stumble upon an ancient island inhabited by two different types of digimon; The Beast types, and the Human types. When they see two young digimon-a beast and humanoid-have become friends, they decide something must be done about the feud.

(Source: ANN)"
Digimon Savers,7.1,"Adventure, Comedy, Drama, Fantasy, Shounen",TV,48,Digimon Data Squad,dejimonseibaazu,デジモンセイバーズ,"Upon meeting for the first time, undefeated street fighter Daimon, Masaru and renegade Digimon Agumon become friends in the most natural way possible for the knuckleheaded duo—by fighting their hearts out. The self-proclaimed ""ultimate team"" are recruited by a secret government organization called the Digimon Data Squad, or DATS, who had witnessed an unbelievable human fighting blow for blow with a Digimon. Their primary objective is investigating mysterious problems caused by Digimon entering the real world, and the world is currently in the midst of a crisis with Digimon appearing at an unprecedented rate. 

Embarking on various missions with DATS, Daimon and Agumon become colleagues with adolescent genius Touma Norstein and his Digimon partner Gaoman, along with the kind-hearted Yoshino ""Yoshi"" Fujeda and her Digimon partner Lalamon. As the group continues to investigate the rapid increase of Digimon in their world, a darker truth begins to surface, and it is up to Daimon, Agumon, and their friends to get to the bottom of things."
Digimon Savers 3D: Digital World Kiki Ippatsu!,6.35,"Action, Adventure, Fantasy, Kids, Supernatural",Movie,1,Digimon Sawers 3D: Listen to Digita!,Digimon Savers 3D: Digital World Kiki Ippatsu!,デジモンセイバーズ3D デジタルワールド危機イッパツ！,"The Digimon travel through the digital word and discover a Digimon eating away the Digital World, thus they resolve to save it."
Digimon Savers the Movie: Kyuukyoku Power! Burst Mode Hatsudou!!,6.72,"Action, Adventure, Comedy, Fantasy, Shounen",Movie,1,Digimon Sawers Tee Moie: Kyukyoku Power! Burst Mode Hatsudo! !,Digimon Savers the Movie: Kyuukyoku Power! Burst Mode Hatsudou!!,デジモンセイバーズ THE MOVIE 究極パワー！バーストモード発動！！,"The human world has been attacked by an unknown force. Using poisoned thorns, it has put all humans to sleep. Agumon, Gaomon and Lalamon are the only ones left to defeat this enemy. Guided by Rhythm, a young girl they saved, they learn that their enemy is called Argomon. But what can the three digimon do, when they can't even evolve.

(Source: ANN)"
Digimon Tamers,7.65,"Adventure, Comedy, Drama, Fantasy, Shounen",TV,51,Digimon Tamers,dejimonteimaazu,デジモンテイマーズ,"Digimon Tamers takes place in a world where the popular Digimon franchise is all the rage, consisting of a cartoon, video games, and the trading card game. Takato Matsuda is a huge Digimon fan that's particularly obsessed with the card game, and constantly daydreams about the universe therein. One day, he finds a mysterious blue card, which he slides through a scanner toy to use in the popular battle game. His toy suddenly glows and transforms into a Digivice, and Takato's fan-made design, Guilmon, materialises in front of him. Thrilled by the prospect of having a real-life Digimon, Takato embraces his new partner, and his adventures as a Digimon Tamer begin.

Takato quickly discovers that being a Digimon Tamer is not all fun and games—in reality, it's much more dangerous than the card games he's accustomed to. Wild Digimon have begun to appear all across Japan, causing rampages that result in chaos and mayhem. Armed with his Digivice, which can scan trading cards to strengthen Guilmon, Takato and his new partner set out to combat the rogue Digimon. They are tasked with protecting the world from Digimon attacks, whilst a mysterious organization determined to eliminate all Digimon and their Tamers lurks in the shadows..."
Digimon Tamers: Boukensha-tachi no Tatakai,7.1,"Adventure, Drama, Sci-Fi, Shounen",Movie,1,Digimon Tamers: Battle of Adventurers,Digimon Tamers: Boukensha-tachi no Tatakai,デジモンテイマーズ 冒険者たちの戦い,"Takato and Guilmon go on vacation to Okinawa and meet a fellow tamer, Minami. Back in Japan, a popular computer pet suddenly becomes a virus, infecting all of the computers who have it. As the virus spreads, Takato tries to figure out why digimon are all attacking his new friend, and what her connection is to the virus.

(Source: ANN)"
Digimon Tamers: Bousou Digimon Tokkyuu,7.16,"Adventure, Comedy, Sci-Fi, Shounen",Movie,1,Digimon Tamers: Runaway Locomon,Digimon Tamers: Bousou Digimon Tokkyuu,デジモンテイマーズ 暴走デジモン特急,"Locomon, a train digimon, has suddenly appeared in the real world. All the tamers scramble to stop the train before it reaches its final destination: the portal into the Digital world.

(Source: ANN)"
Digimon X-Evolution,7.29,"Action, Adventure, Fantasy, Sci-Fi",Movie,1,Digimon X-Evolution,dejitarumonsutaa zevoryuushon,デジタルモンスター ゼヴォリューション,"A virtual world was created by the present-day network called the ""Digital World."" The ""Digital Monster,"" which is a digital life object, was born, and the host computer Yggdrasil managed the different Digital World areas. However, it developed the X Program of fear to eliminate all Digimon in the old world and develop a new Digital World for only certain Digimon... Now, the greatest crisis ever approaches the Digital World.

The X-Digimon, a new type of Digital Monster, is hunted by the Royal Knights who protect the Digital Worlds. Their master, the network overseer Yggdrasil, seeks to set in motion Project Ark to renew the Digital Worlds and create new Digimon, but at the cost of all other digital life. This new X-Digimon will seek out the answers to its own existence as it tries to protect the life of all Digimon, and in the process it will change the Digital Worlds forever.

(Source: ANN)"
Digimon Xros Wars,7.04,"Action, Adventure, Comedy, Fantasy, Shounen",TV,30,Digimon Fusion,dejimonkurosuuoozu,デジモンクロスウォーズ,"The Digital World is in a state of war, with the evil Bagra Army attempting to collect fragments of the Code Crown. Whoever manages to collect all 108 fragments will become king of the Digital World. An evil group of Digimon, known as the Bagra Army, are determined to get their hands on the Code Crown.

Digimon Xros Wars features Taiki Kudou, a soccer-loving middle schooler who will always go out of his way to help people in need. When out with his friends Akari Hinomoto and Zenjirou Tsurugi one day, he hears a voice calling out for help. Investigating the situation, he meets a Digimon named Shoutmon who has been severely wounded in a nearby alley. Using the power of a strange device called a Xros Loader, Taiki manages to save Shoutmon's life, but is pulled into the Digital World alongside Akari and Zenjirou.

Determined not to let the evil Bagra have their way, Taiki and his friends join with Shoutmon and other local Digimon to form their own army known as Xros Heart. Now Xros Heart must fight their way across the Digital World to collect Code Crown fragments and defeat the Bagra Army, but Taiki and his friends are not the only humans caught up in this war of monsters…"
Digimon Xros Wars: Aku no Death General to Nanatsu no Oukoku,7.42,"Action, Adventure, Comedy, Fantasy, Shounen",TV,24,Digimon Fusion,Digimon Xros Wars: Aku no Death General to Nanatsu no Oukoku,デジモンクロスウォーズ～悪のデスジェネラルと七つの王国～,"Returning to the Digital World, Taiki and Shoutmon learn that the Bagra Army has taken it over and reformatted the world to have Seven Kingdoms, each ruled by a general. 

(Source: AniDB)"
Digimon Xros Wars: Toki wo Kakeru Shounen Hunter-tachi,6.68,"Action, Adventure, Comedy, Fantasy, Shounen",TV,25,Digimon Fusion,Digimon Xros Wars: Toki wo Kakeru Shounen Hunter-tachi,デジモンクロスウォーズ 時を駆ける少年ハンターたち,"Digimon Xros Wars: Toki wo Kakeru Shounen Hunter-tachi takes place one year after the defeat of Bagramon and company. Since then, Taiki Kudou and Yuu Amano have formed a basketball team with Yuu’s classmate, Tagiru Akashi. One day, Tagiru discovers a strange area called the DigiQuartz, a strange and unstable realm that exists between the human and digital worlds. He then realises that children all over the world have obtained Xros Loaders as well as Digimon partners to participate in a competition called the 'Digimon Hunt'.

Digimon that wander from the digital world into the DigiQuartz are able to feed off of what negative emotions leak in from the human world. This makes the Digimon stronger at the expense of being extremely violent. As a result, the Digimon Hunters must work to stop these Digimon from wreaking havoc in the human world. Joined by the troublemaking Gumdramon, Tagiru aims to become the top Digimon Hunter, all the while unaware of Taiki and Yuu’s previous Digimon connections. Yet a sinister force lurks with the creation of the DigiQuartz, and the young Hunters will soon realize that the Digimon Hunt is much more than a simple game..."
Dimension W,7.36,"Action, Sci-Fi, Seinen",TV,12,Dimension W,dimenshonW,ディメンションW,"In the near future, humans have discovered a fourth dimension, Dimension W, and a supposedly infinite source of energy within. In order to harness this profound new energy, mankind develops advanced ""coils,"" devices that link to and use the power of Dimension W. However, by year 2071, the New Tesla Energy corporation has monopolized the energy industry with coils, soon leading to the illegal distribution of unofficial coils that begin flooding the markets.

Kyouma Mabuchi is an ex-soldier who is wary of all coil-based technology to the extent that he still drives a gas-powered car. Kyouma is a ""Collector,"" individuals with the sole duty of hunting down illegal coils in exchange for money. What started out as just any other mission is turned on its head when he bumps in Mira Yurizaki, an android with a connection to the ""father"" of coils. When a series of strange events begin to take place, these two unlikely allies band together to uncover the mysteries of Dimension W."
Direct Animation,4.56,Dementia,Movie,1,Direct Animation,dairekuto・animeeshon,ダイレクト・アニメーション,"As if imitating overexcited atoms or rapidly moving molecules, a convulsive world of multicolored shapes and patterns transforms endlessly in the rhythm of a gentle blend between classic oriental instrumentation and synthesizers."
Dirty Pair,7.22,"Adventure, Comedy, Police, Sci-Fi",TV,24,Dirty Pair,daateipea,ダーティペア,"If you're in a big trouble, call the World Welfare Work Association or WWWA. They will send out a team of highly trained capable agents called Trouble Consultants who can solve your problems. But if the team they send you is the Dirty Pair, there will be a lot of collateral damage aside from solving your problems.

(Source: AniDB)"
Dirty Pair: The Movie,7.19,"Adventure, Comedy, Police, Sci-Fi",Movie,1,Dirty Pair: Project Eden,daateipea the Movie,ダーティペア the Movie,"Agerna is a planet rich in Vizorium, the one mineral necessary to space travel. So when a series of mysterious attacks on mining operations has the governments of the world pointing fingers and blaming each other, the World Welfare &amp; Works Association naturally sends in their top agents to investigate. But are the lovely angels up to the task of stopping a mad scientist bent on taking a long dormant alien race to its final evolutionary form? Throw in a thief who's hunting a bottle of World War II-vintage wine and it's a safe bet that nobody on the planet is safe. It's more chaos, more mayhem and even more destruction than ever before as the Dirty Pair take on their wildest case yet!

(Source: AniDB)"
