name,lang,confidence,english,japanese,kanji
Dragon Quest Retsuden: Roto no Monshou,ja,0.90093505,D Dragon Quest Retsuden: Roto no Monsho,Dragon Quest Retsuden: Roto no Monshou,Ｄらごん くえｓｔ れつでん： ろと の もんしょう
Dragon Quest: Abel Yuusha Densetsu,ja,0.5035408,D Dragon Quest: Abel Yusha Densetsu,Dragon Quest: Abel Yuusha Densetsu,Ｄらごん くえｓｔ： あべｌ ゆうしゃ でんせつ
Dragon Quest: Dai no Daibouken,ja,0.5030741,D Dragon Quest: Great Adventure,Dragon Quest: Dai no Daibouken,Ｄらごん くえｓｔ： だい の だいぼうけん
Dragon Quest: Dai no Daibouken (1991),ja,0.5030741,D Dragon Quest: Great Adventure (1991),Dragon Quest: Dai no Daibouken (1991),Ｄらごん くえｓｔ： だい の だいぼうけん （１９９１）
Dragon Quest: Dai no Daibouken Buchiyabure!! Shinsei 6 Daishougun,ja,0.9490504,D Dragon Quest: The big battle is over! ! Shinsei 6 Daishogun,Dragon Quest: Dai no Daibouken Buchiyabure!! Shinsei 6 Daishougun,Ｄらごん くえｓｔ： だい の だいぼうけん ぶちやぶれ！！ しんせい ６ だいしょうぐん
Dragon Quest: Dai no Daibouken Tachiagare!! Aban no Shito,ja,0.9875744,"D Dragon Quest: The big boy, stand up! ! Aban no Shito",Dragon Quest: Dai no Daibouken Tachiagare!! Aban no Shito,Ｄらごん くえｓｔ： だい の だいぼうけん たちあがれ！！ あばん の しと
DragonBlade,en,0.81325376,DragonBlade,doragonbureedo,ドラゴンブレード
Dragonaut: The Resonance,en,0.8991123,Dragonaut: The Resonance,doragonootsu:za・rezonansu,ドラゴノーツ:ザ・レゾナンス
Dreams,en,1.0,Dreams,yume,夢
Druaga no Tou: The Aegis of Uruk,en,0.48932338,Druaga no Tou: The Aegis of Uruk,doruaaganotou The Aegis of Uruk,ドルアーガの塔 The Aegis of Uruk
Druaga no Tou: The Sword of Uruk,en,0.50331277,Druaga no Tou: The Sword of Uruk,doruaaganotou urukunotsurugi,ドルアーガの塔 ウルクの剣
Duel Masters,en,0.9343704,Duel Masters,deyuerumasutaazu,デュエルマスターズ
Duel Masters Charge,en,1.0,Duel Masters Charge,deyuerumasutaazuchaaji,デュエルマスターズチャージ
Duel Masters Cross,en,0.9341249,Duel Masters Cross,deyuerumasutaazukurosu,デュエルマスターズクロス
Duel Masters Cross Shock,en,0.97483104,Duel Masters Cross Shock,deyuerumasutaazu kurosushokku,デュエルマスターズ クロスショック
Duel Masters Movie 1: Yami no Shiro no Maryuuou,en,0.67696935,Duel Masters Movie 1: Yami no Shiro no Maryuuou,deyueru・masutaazu muubii1 yaminoshironomaryuuou,デュエル・マスターズ ムービー1 闇の城の魔竜王
Duel Masters Movie 2: Lunatic God Saga,en,0.9382137,Duel Masters Movie 2: Lunatic God Saga,deyueru・masutaazu muubii2 runateikku・goddo・saaga,デュエル・マスターズ ムービー2 ルナティック・ゴッド・サーガ
Duel Masters Movie 3: Honoo no Kizuna XX,en,0.2595724,Duel Masters Movie 3: Honoo no Kizuna XX,Duel Masters Movie 3: Honoo no Kizuna XX,Duel Masters Movie 3: Honoo no Kizuna XX
Duel Masters VS,en,0.95342743,Duel Masters VS,deyuerumasutaazu VS,デュエルマスターズ VS
Duel Masters Victory,en,0.91648656,Duel Masters Victory,deyueru・masutaazu bikutorii,デュエル・マスターズ ビクトリー
Duel Masters Victory V,en,0.8016408,Duel Masters Victory V,deyuerumasutaazu bikutoriiV,デュエルマスターズ ビクトリーV
Duel Masters Victory V3,en,0.7428329,Duel Masters Victory V3,deyuerumasutaazu bikutoriiV3,デュエルマスターズ ビクトリーV3
Duel Masters Zero,en,0.87158287,Duel Masters Zero,deyueru・masutaazu zero,デュエル・マスターズ ゼロ
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,ja,1.0,It's probably wrong to ask someone to meet you.,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,づん下音 に 出会い を 求める の 和 間違っている だろう 化
Durarara!!,vi,0.7109375,Durarara!!,Durarara!!,Durarara!!
Durarara!!x2 Ketsu,ja,0.9197125,Zurarara! ! x2 hole,Durarara!!x2 Ketsu,ヅラらら！！ｘ２ 穴
Durarara!!x2 Shou,ar,0.16360146,Durarara!!x2 Shou,Durarara!!x2 Shou,Durarara!!x2 Shou
Durarara!!x2 Ten,eu,0.5782507,Durarara!!x2 Ten,Durarara!!x2 Ten,Durarara!!x2 Ten
Dwaejiui Wang,zh-CN,0.30213007,Dwaejiui Wang,Dwaejiui Wang,Dwaejiui Wang
Eat-Man,en,1.0,Eat-Man,iitoman,イートマン
Eat-Man 98,en,1.0,Eat-Man 98,iitoman98,イートマン98
Edens Bowy,pl,0.5426246,Edens Bowy,Edens Bowy,Edens Bowy
Edokko Boy: Gatten Tasuke,ja,1.0,Edokko Boy: Gatten Help,Edokko Boy: Gatten Tasuke,えどっこ ぼｙ： がってん たすけ
Eien no Hou,nl,0.6927232,Eien no Hou,Eien no Hou,Eien no Hou
Eiga de Toujou! Tamagotchi Dokidoki! Uchuu no Maigotchi!?,ja,1.0,Appearing in the movie! I'm so excited about the egg t-shirt! Lost in space! ?,Eiga de Toujou! Tamagotchi Dokidoki! Uchuu no Maigotchi!?,映画 で 登場！ 卵ｔ地 ドキドキ！ 宇宙 の 迷子ｔ地！？
Eiga! Tamagotchi Uchuu Ichi Happy na Monogatari!?,ja,0.80936074,movie! Egg Earth Universe 1 A happy story! ?,Eiga! Tamagotchi Uchuu Ichi Happy na Monogatari!?,映画！ 卵ｔ地 宇宙 １ はっｐｙ な 物語！？
Eightman,en,0.9144717,Eightman,eitoman,エイトマン
"Eikoku Ikka, Nihon wo Taberu",ja,1.0,British family eats Japanese food,"Eikoku Ikka, Nihon wo Taberu",英国 一家、 日本 を 食べる
Eikoku Koi Monogatari Emma,ja,1.0,British love story Emma,Eikoku Koi Monogatari Emma,英国 恋 物語 えっま
Eikoku Koi Monogatari Emma: Molders-hen,ja,0.9885939,Eikoku Koi Monogatari Ema: Mol de rs-hen,Eikoku Koi Monogatari Emma: Molders-hen,えいこく こい ものがたり えっま： もｌでｒｓーへん
Eikyuu Kazoku,ja,1.0,forever family,Eikyuu Kazoku,永久 家族
El Cazador de la Bruja,es,0.9891955,El Cazador de la Bruja,El Cazador de la Bruja,El Cazador de la Bruja
El Hazard: The Alternative World,en,0.969962,El Hazard: The Alternative World,eru・hazaado: orutanateibu・waarudo,エル・ハザード: オルタナティブ・ワールド
El Hazard: The Wanderers,en,0.9230659,El Hazard: The Wanderers,eru・hazaado: wandaraazu,エル・ハザード: ワンダラーズ
Elec-king The Animation,en,1.0,Elec-king The Animation,erekingu THE ANIMATION,エレキング THE ANIMATION
Element Hunters,en,1.0,Element Hunters,erementohantaa,エレメントハンター
Elf wo Karu Mono-tachi,ja,1.0,Picture LF Cal Mono and others,Elf wo Karu Mono-tachi,絵ｌｆ を カル もノーたち
Elf wo Karu Mono-tachi II,ja,1.0,The picture LF is also good.,Elf wo Karu Mono-tachi II,絵ｌｆ を カル もノーたち いい
Elfen Lied,de,0.9385312,Elfen Lied,Elfen Lied,Elfen Lied
Elysium,en,0.98003364,Elysium,erijiumu,エリジウム
Enchanted Journey,en,0.9850202,Enchanted Journey,miwakunotabi,魅惑の旅
Endride,da,0.59183717,Endride,Endride,Endride
Entaku no Kishi Monogatari: Moero Arthur,ja,0.7347308,Entaku's Story: Moero Artur,Entaku no Kishi Monogatari: Moero Arthur,えんたく の きし ものがたり： もえろ あｒてゅｒ
Entotsuya Peroo,ja,1.0,Chimney and pero,Entotsuya Peroo,煙突や ペロお
Erementar Gerad,lb,0.96686304,Erementar Gerad,Erementar Gerad,Erementar Gerad
Ergo Proxy,el,0.71295017,Ergo Proxy,Ergo Proxy,Ergo Proxy
Es Otherwise,en,0.9846972,Es Otherwise,soreigainobaai,それ以外の場合
Escaflowne,en,0.7591821,Escaflowne,esukafuroone,エスカフローネ
Escha and Logy no Atelier: Tasogare no Sora no Renkinjutsushi,ja,0.9584968,Escha Andgy's Attier: The Sky of the Twilight,Escha and Logy no Atelier: Tasogare no Sora no Renkinjutsushi,えｓちゃ あんｄ ぉｇｙ の あてぃえｒ： たそがれ の そら の れんきんじゅつし
Esper Mami,es,0.55210507,Esper Mami,Esper Mami,Esper Mami
Esper Mami: Hoshizora no Dancing Doll,ja,0.5814006,Esper Mami: Hoshizora no Danshin G Doll,Esper Mami: Hoshizora no Dancing Doll,えｓぺｒ まみ： ほしぞら の だんしんｇ どっｌ
Etotama,mg,0.3705406,Etotama,Etotama,Etotama
Eun-sil-i,su,0.9610522,Eun-sil-i,Eun-sil-i,Eun-sil-i
Eureka Seven,en,0.33843687,Eureka Seven,Eureka Seven,Eureka Seven
Eureka Seven AO,pt,0.3053214,Eureka Seven AO,Eureka Seven AO,Eureka Seven AO
Eureka Seven: Pocket ga Niji de Ippai,ja,0.87561774,Eureka Seien: My pocket is full of rainbows,Eureka Seven: Pocket ga Niji de Ippai,えうれか せゔぇん： ぽｃけｔ が にじ で いっぱい
Evangelion: 1.0 You Are (Not) Alone,en,1.0,Evangelion: 1.0 You Are (Not) Alone,evuangeriwonshingekibahan:1.0 anatahahitoridehanai,ヱヴァンゲリヲン新劇場版:1.0 あなたは一人ではない
Evangelion: 2.0 You Can (Not) Advance,en,1.0,Evangelion: 2.0 You Can (Not) Advance,evuangeriwonshingekibahan:Q,ヱヴァンゲリヲン新劇場版：Q
Evangelion: 3.0 You Can (Not) Redo,en,1.0,Evangelion: 3.0 You Can (Not) Redo,evuangeriwonshingekibahan:3.0 yarinaoshihadekiru(dekinai),ヱヴァンゲリヲン新劇場版:3.0 やり直しはできる(できない)
Eve no Jikan (Movie),ja,0.64747345,Picture time (Movie),Eve no Jikan (Movie),絵ヴェ の 時間 （もヴィエ）
Examurai Sengoku,ja,0.92473793,Eh Murai Sengoku,Examurai Sengoku,えァ村井 戦国
Exper Zenon,de,0.4425355,Exper Zenon,Exper Zenon,Exper Zenon
Eyeshield 21,en,0.63509184,Eyeshield 21,aishiirudo21,アイシールド21
Eyeshield 21: Maboroshi no Golden Bowl,ja,0.7248404,Essie ld 21: Illusionary book wl,Eyeshield 21: Maboroshi no Golden Bowl,えいぇしえｌｄ ２１： まぼろし の ごｌでん ぼｗｌ
F,en,0.97986573,F,F,F
F-Zero: Falcon Densetsu,ja,0.87597907,F-zero: Falkon Densetsu,F-Zero: Falcon Densetsu,Ｆーぜろ： ふぁｌこん でんせつ
Fabre-sensei wa Meitantei,ja,1.0,Fabre Sensei Kazu Detective,Fabre-sensei wa Meitantei,ファｂれー先生 和 名探偵
Fairy Tail,en,1.0,Fairy Tail,feariiteiru,フェアリーテイル
Fairy Tail (2014),en,1.0,Fairy Tail (2014),feariiteiru (2014),フェアリーテイル (2014)
Fairy Tail Movie 1: Houou no Miko,en,0.8409266,Fairy Tail Movie 1: Houou no Miko,gekijoubanfeariiteiru1 ootorikounomiko,劇場版フェアリーテイル1 鳳皇ノ巫女
Fantasista Doll,it,0.933064,Fantasista Doll,Fantasista Doll,Fantasista Doll
Fantastic Cell,en,1.0,Fantastic Cell,fuantasuteikkuseru,ファンタスティックセル
Fantastic Children,en,1.0,Fantastic Children,subarashiikodomotachi,素晴らしい子供たち
Fashion,en,0.8630873,Fashion,fuasshon,ファッション
Fatal Fury: The Motion Picture,en,1.0,Fatal Fury: The Motion Picture,garoudensetsu za・mooshon・pikuchaa,餓狼伝説 ザ・モーション・ピクチャー
Fate/Zero,en,0.96283597,Fate/Zero,feito/zero,フェイト/ゼロ
Fate/Zero 2nd Season,en,0.49904525,Fate/Zero 2nd Season,Fate/Zero 2ndshiizun,Fate/Zero 2ndシーズン
Fate/Zero Cafe,en,0.892378,Fate/Zero Cafe,Fate/Zerokafe,Fate/Zeroカフェ
Fate/kaleid liner Prisma☆Illya,en,0.3785389,Fate/kaleid liner Prisma☆Illya,Fate/kaleid liner purizuma☆iriya,Fate/kaleid liner プリズマ☆イリヤ
Fate/kaleid liner Prisma☆Illya 2wei Herz!,de,0.46395254,Fate/kaleid liner Prisma☆Illya 2wei Herz!,Fate/kaleid liner Prisma☆Illya 2wei Herz!,Fate/kaleid liner Prisma☆Illya 2wei Herz!
Fate/kaleid liner Prisma☆Illya 2wei!,zh-CN,0.70503974,Fate/kaleid liner Prisma☆Illya 2wei!,Fate/kaleid liner Prisma☆Illya 2wei!,Fate/kaleid liner Prisma☆Illya 2wei!
Fate/kaleid liner Prisma☆Illya 3rei!!,en,0.47126454,Fate/kaleid liner Prisma☆Illya 3rei!!,Fate/kaleid liner purizuma☆iriya 3rei!!,Fate/kaleid liner プリズマ☆イリヤ 3rei!!
Fate/stay night,en,1.0,Fate/stay night,Fate/stay night,Fate/stay night
Fate/stay night Movie: Unlimited Blade Works,en,1.0,Fate/stay night Movie: Unlimited Blade Works,gekijouban(Fate/stay night Unlimited Blade Works),劇場版「Fate/stay night Unlimited Blade Works」
Fate/stay night: Unlimited Blade Works,en,1.0,Fate/stay night: Unlimited Blade Works,Fate/stay night Unlimited Blade Works,Fate/stay night Unlimited Blade Works
Fate/stay night: Unlimited Blade Works 2nd Season,en,1.0,Fate/stay night: Unlimited Blade Works 2nd Season,Fate/stay night Unlimited Blade Works 2nd Season,Fate/stay night Unlimited Blade Works 2nd Season
Feeling from Mountain and Water,en,1.0,Feeling from Mountain and Water,yamatomizukarakanjirukoto,山と水から感じること
Feng Yun Jue,zh-CN,1.0,Feng Yun Jue,Feng Yun Jue,Feng Yun Jue
Fetish Doll,en,0.85657215,Fetish Doll,feteisshudooru,フェティッシュドール
Fight Ippatsu! Juuden-chan!!,ja,1.0,Fight one shot! Charging-chan! !,Fight Ippatsu! Juuden-chan!!,フィｇｈｔ 一発！ 充電ーちゃん！！
Fighting Foodons,en,1.0,Fighting Foodons,fuudontonotatakai,フードンとの戦い
Figure 17: Tsubasa and Hikaru,ja,0.9215736,Figure 17: Tsubasa and Hikaru,Figure 17: Tsubasa and Hikaru,ふぃぐれ １７： つばさ あんｄ ひかる
Final Approach,en,0.98609865,Final Approach,saishuuapuroochi,最終アプローチ
Final Fantasy VII: Advent Children,en,1.0,Final Fantasy VII: Advent Children,fuainarufuantajii VII: adobento chirudoren,ファイナルファンタジー VII: アドベント チルドレン
Final Fantasy VII: Advent Children - Venice Film Festival Footage,en,0.9869619,Final Fantasy VII: Advent Children - Venice Film Festival Footage,fuainarufuantajii VII: adobento chirudoren - venechiaeigasaieizou,ファイナルファンタジー VII: アドベント チルドレン - ヴェネチア映画祭映像
Final Fantasy: The Spirits Within,en,1.0,Final Fantasy: The Spirits Within,fuainarufuantajii:za・supirittsu・uizuin,ファイナルファンタジー：ザ・スピリッツ・ウィズイン
Final Fantasy: Unlimited,en,1.0,Final Fantasy: Unlimited,fuainarufuantajii: anrimiteddo,ファイナルファンタジー: アンリミテッド
Fireball,en,0.98710054,Fireball,hinotama,火の玉
Fireball Charming,en,1.0,Fireball Charming,fuaiabooru・chaamingu,ファイアボール・チャーミング
Firestorm,en,1.0,Firestorm,fuaiasutoomu,ファイアストーム
First Squad: The Moment of Truth,en,1.0,First Squad: The Moment of Truth,daiichibutai: shinjitsunoshunkan,第一部隊: 真実の瞬間
Five Star Stories,en,1.0,Five Star Stories,fuaibusutaamonogatari,ファイブスター物語
Flag Directors Edition: Issenman no Kufura no Kiroku,ja,0.72586554,Fag zire c and rs picture: Issenman no kufura no kiroku,Flag Directors Edition: Issenman no Kufura no Kiroku,Ｆぁｇ ぢれｃとｒｓ えぢちおん： いっせんまん の くふら の きろく
Flanders no Inu,en,0.7764565,Flanders no Inu,furandaasunoinu,フランダースの犬
Flanders no Inu (Movie),en,0.9502154,Flanders no Inu (Movie),furandaasunoinu (eiga),フランダースの犬 (映画)
"Flanders no Inu, Boku no Patrasche",ja,0.35091132,"Fan's dog, my Pat's dog, etc.","Flanders no Inu, Boku no Patrasche",Ｆァんでｒｓ の 犬、 僕 の パｔ等ｓチェ
Flying Witch,en,1.0,Flying Witch,furainguuitchi,ふらいんぐうぃっち
Fortune Arterial: Akai Yakusoku,ja,0.96918786,Format Real: Red Yakusoku,Fortune Arterial: Akai Yakusoku,ふぉｒつね あｒてりあｌ： あかい やくそく
Fortune Dogs,en,1.0,Fortune Dogs,foochundoggusu,フォーチュンドッグス
Fortune Quest L,en,0.5550723,Fortune Quest L,foochunkuesutoL,フォーチュンクエストL
Forza! Hidemaru,co,0.30022353,Forza! Hidemaru,Forza! Hidemaru,Forza! Hidemaru
Fractale,fr,1.0,Fractale,Fractale,Fractale
Francesca,en,0.8751643,Francesca,furanchesuka,フランチェスカ
Free!,en,1.0,Free!,muryou!,無料！
Free!: Eternal Summer,en,0.9888952,Free!: Eternal Summer,Free!:eiennonatsu,Free!:永遠の夏
Fresh Precure!,en,0.8547263,Fresh Precure!,furesshupurikyua!,フレッシュプリキュア！
Fresh Precure! Movie: Omocha no Kuni wa Himitsu ga Ippai!?,ja,1.0,Fresh Prere! Moie: She has a lot of secrets about toys! ?,Fresh Precure! Movie: Omocha no Kuni wa Himitsu ga Ippai!?,Ｆれｓｈ Ｐれくれ！ もゔぃえ： おもちゃ の くに わ ひみつ が いっぱい！？
Friends: Mononoke Shima no Naki,ja,0.82148874,F Re-end ds: Mononoke Shima no Naki,Friends: Mononoke Shima no Naki,Ｆりえんｄｓ： もののけ しま の なき
Fruits Basket,en,0.9377337,Fruits Basket,furuutsubasuketto,フルーツバスケット
Frypan Jiisan,ja,0.39047554,Fry bread old man,Frypan Jiisan,Ｆｒｙパン 爺さん
Fudanshi Koukou Seikatsu,ja,0.9513371,Fudanshi high school life,Fudanshi Koukou Seikatsu,腐男子 高校 生活
Fue,es,1.0,Fue,Fue,Fue
Fukigen na Mononokean,ja,1.0,Grumpy monster hermitage,Fukigen na Mononokean,不機嫌 な 物怪庵
Fuku-chan no Sensuikan,ja,1.0,Clothes-chan's submarine,Fuku-chan no Sensuikan,服ーちゃん の 潜水艦
Full Metal Panic!,en,1.0,Full Metal Panic!,furumetaru・panikku!,フルメタル・パニック!
Full Metal Panic! The Second Raid,en,1.0,Full Metal Panic! The Second Raid,furumetaru・panikku!nidomenoshuugeki,フルメタル・パニック!二度目の襲撃
Full Metal Panic? Fumoffu,en,0.98871535,Full Metal Panic? Fumoffu,furumetarupanikku?fumoffu,フルメタルパニック?ふもっふ
Full Moon wo Sagashite,ja,0.6539014,Looking for full turn on,Full Moon wo Sagashite,フッｌ もオン を 探して
Fullmetal Alchemist,en,0.8860988,Fullmetal Alchemist,furumetaruarukemisuto,フルメタルアルケミスト
Fullmetal Alchemist: Brotherhood,en,0.97949684,Fullmetal Alchemist: Brotherhood,kounorenkinjutsushinokyoudaiai,鋼の錬金術師の兄弟愛
Fullmetal Alchemist: The Conqueror of Shamballa,en,0.86805266,Fullmetal Alchemist: The Conqueror of Shamballa,kounorenkinjutsushi shanbarawoyukumono,鋼の錬金術師 シャンバラを征く者
Fullmetal Alchemist: The Sacred Star of Milos,en,1.0,Fullmetal Alchemist: The Sacred Star of Milos,kounorenkinjutsushi ~hijirinarumirosunohoshi~,鋼の錬金術師 〜聖なるミロスの星〜
Funny Pets,en,1.0,Funny Pets,omoshiroipetto,面白いペット
Funny Pets 2nd Season,en,1.0,Funny Pets 2nd Season,fuanii petto sekando shiizun,ファニー ペット セカンド シーズン
Furiten-kun,ja,1.0,Friten-kun,Furiten-kun,フリテンーくん
Furudera no Obake-soudou,ja,1.0,Ghost disturbance at old temple,Furudera no Obake-soudou,古寺 の おばけー騒動
Furusato Japan,ja,1.0,Hometown Japan,Furusato Japan,故郷 ジャパン
Fuse: Teppou Musume no Torimonochou,ja,1.0,Fuse: Teppo's daughter's bird,Fuse: Teppou Musume no Torimonochou,ふせ： てっぽう むすめ の とりものちょう
Fusha no Sha,ja,0.9282384,pedestrian,Fusha no Sha,歩車 の 者
Fushigi Mahou Fun Fun Pharmacy,ja,0.637036,wonder magic minute minute P is r magic cy,Fushigi Mahou Fun Fun Pharmacy,不思議 魔法 分 分 Ｐはｒ魔ｃｙ
Fushigi Yuugi,ja,0.8148949,wonder game,Fushigi Yuugi,不思議 遊戯
Fushigi na Koala Blinky,ja,0.45941043,"Mysterious child Ah, Binky",Fushigi na Koala Blinky,不思議 な 子あぁ Ｂぃんｋｙ
Fushigi na Kusuri,ja,1.0,mysterious medicine,Fushigi na Kusuri,不思議 な 薬
Fushigi na Melmo,ja,0.96540254,Mysterious messages too,Fushigi na Melmo,不思議 な めｌも
Fushigi na Somera-chan,ja,0.98750776,Mysterious dyed rachan,Fushigi na Somera-chan,不思議 な 染ラーチャン
Fushigi na Taiko,ja,1.0,mysterious drum,Fushigi na Taiko,不思議 な 太鼓
Fushigi no Kuni no Alice,ja,1.0,Aise of Wonderland,Fushigi no Kuni no Alice,不思議 の 国 の あぃせ
Fushigi no Umi no Nadia,ja,1.0,The ocean of wonder,Fushigi no Umi no Nadia,不思議 の 海 の なぢあ
Fushigi no Umi no Nadia: Original Movie,ja,0.98324627,Mysterious ocean: Origina l Moie,Fushigi no Umi no Nadia: Original Movie,ふしぎ の うみ の なぢあ： おりぎなｌ もゔぃえ
Fushigiboshi no☆Futagohime,ja,1.0,Fushigiboshi no☆Futagohime,Fushigiboshi no☆Futagohime,Fushigiboshi no☆Futagohime
Fushigiboshi no☆Futagohime Gyu!,ja,1.0,Fushigiboshi no☆Futagohime Gyu!,Fushigiboshi no☆Futagohime Gyu!,Fushigiboshi no☆Futagohime Gyu!
Futakoi,ja,0.95519495,twin love,Futakoi,双恋
Futakoi Alternative,ja,0.3855945,Sotokoi al hand nachive,Futakoi Alternative,双恋 あｌ手ｒナチヴェ
Futari Zamurai Homare no Kawakiri,ja,1.0,The beginning of the two-person reunion,Futari Zamurai Homare no Kawakiri,二人 ざむらい ほまれ の 皮切り
Futari wa Milky Holmes,ja,0.95548177,"Two people, unlucky supplements",Futari wa Milky Holmes,二人 和 未ｌｋｙ 補ｌめｓ
Futari wa Precure,ja,1.0,Two people P Recre,Futari wa Precure,二人 和 Ｐレクレ
Futari wa Precure: Max Heart,ja,0.94392526,"The two of us, Prekure: Mx Heart.",Futari wa Precure: Max Heart,ふたり わ Ｐれくれ： まｘ へあｒｔ
Futari wa Precure: Max Heart Movie 1,ja,0.81954026,Futari Wa Prekure: Max Heart Moie 1,Futari wa Precure: Max Heart Movie 1,ふたり わ Ｐれくれ： まｘ へあｒｔ もゔぃえ １
Futari wa Precure: Max Heart Movie 2 - Yukizora no Tomodachi,ja,1.0,Futari Wa Prekure: Max Heart Moie 2 - Yukizora's Friend,Futari wa Precure: Max Heart Movie 2 - Yukizora no Tomodachi,ふたり わ Ｐれくれ： まｘ へあｒｔ もゔぃえ ２ ー ゆきぞら の ともだち
Futari wa Precure: Splash☆Star,ja,1.0,Futari wa Precure: Splash☆Star,Futari wa Precure: Splash☆Star,Futari wa Precure: Splash☆Star
Futari wa Precure: Splash☆Star Maji★Doki♥ Theater,ja,0.9759671,Futari wa Precure: Splash☆Star Maji★Doki♥ Theater,Futari wa Precure: Splash☆Star Maji★Doki♥ Theater,Futari wa Precure: Splash☆Star Maji★Doki♥ Theater
Futari wa Precure: Splash☆Star Movie - Tick Tack Kiki Ippatsu!,ja,1.0,Futari wa Precure: Splash☆Star Movie - Tick Tack Kiki Ippatsu!,Futari wa Precure: Splash☆Star Movie - Tick Tack Kiki Ippatsu!,Futari wa Precure: Splash☆Star Movie - Tick Tack Kiki Ippatsu!
Futarigurashi,ja,1.0,Living for two,Futarigurashi,二人暮らし
Futatsu no Spica,ja,1.0,Two S pics,Futatsu no Spica,２つ の Ｓピカ
Futon,en,1.0,Futon,futon,布団
Futsuu no Joshikousei ga [Locodol] Yattemita.,ja,1.0,An ordinary high school girl tried ``Okodori''.,Futsuu no Joshikousei ga [Locodol] Yattemita.,普通 の 女子高生 が 「ぉこ度ｌ」 やってみた。
Future Card Buddyfight,en,1.0,Future Card Buddyfight,fuyuuchaakaado badifuaito,フューチャーカード バディファイト
Future Card Buddyfight 100,en,1.0,Future Card Buddyfight 100,fuyuuchaakaado badifuaito 100,フューチャーカード バディファイト 100
Future GPX Cyber Formula,en,0.98556936,Future GPX Cyber Formula,shinseikiGPXsaibaafoomyura,新世紀GPXサイバーフォーミュラ
Future War 198X-nen,en,0.9053114,Future War 198X-nen,miraisensou 198Xnen,未来戦争 198X年
Fuujin Monogatari,ja,0.9193166,wind god story,Fuujin Monogatari,風神 物語
Fuusen Shoujo Temple-chan,ja,0.96493155,Balloon girl hand MPee-chan,Fuusen Shoujo Temple-chan,風船 少女 手ＭＰぇーちゃん
Fuuun Ishin Dai☆Shogun,sq,0.7120041,Fuuun Ishin Dai☆Shogun,Fuuun Ishin Dai☆Shogun,Fuuun Ishin Dai☆Shogun
Fuyu no Hi,ja,0.9636034,winter expenses,Fuyu no Hi,冬 の 費
Fw:Hamatora,mg,0.8385238,Fw:Hamatora,Fw:Hamatora,Fw:Hamatora
G-On Riders,en,1.0,G-On Riders,jiionraidaazu,ジーオンライダーズ
G-senjou no Higeki,ja,1.0,G-washing tragedy,G-senjou no Higeki,Ｇー洗浄 の 悲劇
G.U. Trilogy,en,1.0,G.U. Trilogy,guusanbusaku,グー三部作
GA: Geijutsuka Art Design Class,ja,0.7224218,Ga: Geijyutsuka Art Deshigun Cass,GA: Geijutsuka Art Design Class,が： げいじゅつか あｒｔ でしｇん Ｃぁっｓ
GJ-bu,sq,0.4930779,GJ-bu,GJ-bu,GJ-bu
GO-GO Tamagotchi!,ja,0.9812663,Gogo egg t-ground!,GO-GO Tamagotchi!,ゴーゴ 卵ｔ地！
GR: Giant Robo,el,0.3727263,GR: Giant Robo,GR: Giant Robo,GR: Giant Robo
GS Mikami: Gokuraku Daisakusen!!,ja,1.0,GS Mikami: Great job! !,GS Mikami: Gokuraku Daisakusen!!,ＧＳ みかみ： ごくらく だいさくせん！！
Ga no Iru Tokoro,ja,1.0,Where there is,Ga no Iru Tokoro,が の いる ところ
Ga-Rei: Zero,ja,0.8382298,Garei: Zero,Ga-Rei: Zero,がーれい： ぜろ
Gad Guard,en,0.97444177,Gad Guard,gaddogaado,ガッドガード
Gaiking: Legend of Daiku-Maryu,id,0.6143679,Gaiking: Legend of Daiku-Maryu,Gaiking: Legend of Daiku-Maryu,Gaiking: Legend of Daiku-Maryu
Gaist Crusher,en,0.72401947,Gaist Crusher,gaisutokurasshaa,ガイストクラッシャー
Gake no Ue no Ponyo,ja,1.0,Ponyo on the Cliff,Gake no Ue no Ponyo,崖 の 上 の ポニョ
Gakkatsu!,ja,1.0,Gakkatsu!,Gakkatsu!,ガッ活！
Gakkatsu! 2nd Season,ja,0.37576532,Gakkatsu! 2nd Season,Gakkatsu! 2nd Season,ジャケット！そしてシソン
Gakkou no Kaidan,ja,1.0,school stairs,Gakkou no Kaidan,学校 の 階段
Gakkou no Kowai Uwasa Shin: Hanako-san ga Kita!!,ja,1.0,School's scary rumor: Hanako-san is here! !,Gakkou no Kowai Uwasa Shin: Hanako-san ga Kita!!,がっこう の こわい うわさ しん： はなこーさん が きた！！
Gakkou no Kowai Uwasa: Hanako-san ga Kita!!,ja,1.0,Scary school rumor: Hanako-san is here! !,Gakkou no Kowai Uwasa: Hanako-san ga Kita!!,がっこう の こわい うわさ： はなこーさん が きた！！
Gakkougurashi!,ja,1.0,School life!,Gakkougurashi!,がっこうぐらし！
Gakkyuu Ou Yamazaki,ja,1.0,Class King Yamazaki,Gakkyuu Ou Yamazaki,学級 王 山崎
Gakuen Alice,id,0.53427356,Gakuen Alice,Gakuen Alice,Gakuen Alice
Gakuen Heaven,ja,0.9596082,school hairven,Gakuen Heaven,学園 ヘアヴェン
