name,english,japanese,kanji
Fullmetal Alchemist: Brotherhood,Fullmetal Alchemist: Brotherhood,kounorenkinjutsushi FULLMETAL ALCHEMIST,鋼の錬金術師 FULLMETAL ALCHEMIST
Fullmetal Alchemist: The Conqueror of Shamballa,Fullmetal Alchemist: The Movie - Conqueror of Shamballa,gekijouban kounorenkinjutsushi shanbarawoyukumono,劇場版 鋼の錬金術師 シャンバラを征く者
Fullmetal Alchemist: The Sacred Star of Milos,Fullmetal Alchemist: The Sacred Star of Milos,gekijouban kounorenkinjutsushi nagekinooka(mirosu)nohijirinaruhoshi,劇場版 鋼の錬金術師 嘆きの丘(ミロス)の聖なる星
Funny Pets,Funny Pets,fuaniipettsu,ファニーペッツ
Funny Pets 2nd Season,Funny Pets 2nd Season,Funny Pets 2ndshiizun,Funny Pets 2ndシーズン
Furiten-kun,Friten-kun,Furiten-kun,フリテンくん
Furudera no Obake-soudou,Taro's Monster Hunt,Furudera no Obake-soudou,古寺のおばけ騒動
Furusato Japan,"Japan, Our Homeland",Furusato Japan,ふるさとJAPAN
Fuse: Teppou Musume no Torimonochou,Fusé: Memoirs of a Huntress,Fuse: Teppou Musume no Torimonochou,伏 鉄砲娘の捕物帳
Fusha no Sha,To Shoot Without Shooting,Fusha no Sha,歩車 の 者
Fushigi Mahou Fun Fun Pharmacy,wonder magic minute minute P is r magic cy,Fushigi Mahou Fun Fun Pharmacy,ふしぎ魔法 ファンファン・ファーマシィー
Fushigi Yuugi,Mysterious Play,Fushigi Yuugi,ふしぎ遊戯
Fushigi na Koala Blinky,Noozles,Fushigi na Koala Blinky,ふしぎなコアラ ブリンキー
Fushigi na Kusuri,mysterious medicine,Fushigi na Kusuri,ふしぎなくすり
Fushigi na Melmo,Marvelous Melmo,Fushigi na Melmo,ふしぎなメルモ
Fushigi na Somera-chan,Mysterious dyed rachan,Fushigi na Somera-chan,不思議なソメラちゃん
Fushigi na Taiko,mysterious drum,Fushigi na Taiko,ふしぎな太鼓
Fushigi no Kuni no Alice,Alice in Wonderland,Fushigi no Kuni no Alice,ふしぎの国のアリス
Fushigi no Umi no Nadia,Nadia: Secret of Blue Water,Fushigi no Umi no Nadia,ふしぎの海のナディア
Fushigi no Umi no Nadia: Original Movie,Nadia: The Secret of Blue Water - The Motion Picture,Fushigi no Umi no Nadia: Original Movie,ふしぎの海のナディア 劇場用オリジナル版
Fushigiboshi no☆Futagohime,Fushigiboshi no☆Futagohime,Fushigiboshi no☆Futagohime,ふしぎ星の☆ふたご姫
Fushigiboshi no☆Futagohime Gyu!,Fushigiboshi no☆Futagohime Gyu!,Fushigiboshi no☆Futagohime Gyu!,ふしぎ星の☆ふたご姫
Futakoi,Twin Love,Futakoi,双恋
Futakoi Alternative,Sotokoi al hand nachive,Futakoi Alternative,フタコイ オルタナティブ
Futari Zamurai Homare no Kawakiri,Two Samurai,Futari Zamurai Homare no Kawakiri,二人 ざむらい ほまれ の 皮切り
Futari wa Milky Holmes,"Two people, unlucky supplements",Futari wa Milky Holmes,ふたりはミルキィホームズ
Futari wa Precure,Pretty Cure,Futari wa Precure,ふたりはプリキュア
Futari wa Precure: Max Heart,"The two of us, Prekure: Mx Heart.",Futari wa Precure: Max Heart,ふたりはプリキュア ー マックスハート
Futari wa Precure: Max Heart Movie 1,Futari Wa Prekure: Max Heart Moie 1,Futari wa Precure: Max Heart Movie 1,ふたりはプリキュア ー マックスハート
Futari wa Precure: Max Heart Movie 2 - Yukizora no Tomodachi,Futari Wa Prekure: Max Heart Moie 2 - Yukizora's Friend,Futari wa Precure: Max Heart Movie 2 - Yukizora no Tomodachi,ふたりはプリキュア Max Heart2 雪空のともだち
Futari wa Precure: Splash☆Star,Futari wa Precure: Splash☆Star,Futari wa Precure: Splash☆Star,ふたりはプリキュア Splash☆Star
Futari wa Precure: Splash☆Star Maji★Doki♥ Theater,Futari wa Precure: Splash☆Star Maji★Doki♥ Theater,Futari wa Precure: Splash☆Star Maji★Doki♥ Theater,ふたりはプリキュア Splash Star マジッ★ドキッ♥ シアター
Futari wa Precure: Splash☆Star Movie - Tick Tack Kiki Ippatsu!,Futari wa Precure: Splash☆Star Movie - Tick Tack Kiki Ippatsu!,Futari wa Precure: Splash☆Star Movie - Tick Tack Kiki Ippatsu!,映画 ふたりはプリキュア Splash Star チクタク危機一髪!
Futarigurashi,Living for two,Futarigurashi,ふたり暮らし
Futatsu no Spica,Twin Spica,Futatsu no Spica,ふたつのスピカ
Futon,Futon,futon,布団
Futsuu no Joshikousei ga [Locodol] Yattemita.,Locodol,Futsuu no Joshikousei ga [Locodol] Yattemita.,普通の女子校生が【ろこどる】やってみた。
Future Card Buddyfight,Future Card Buddyfight,fuyuuchaakaado badifuaito,フューチャーカード バディファイト
Future Card Buddyfight 100,Future Card Buddyfight 100,fuyuuchaakaado badifuaito 100,フューチャーカード バディファイト 100
Future GPX Cyber Formula,Future GPX Cyber Formula,shinseikiGPXsaibaafoomyura,新世紀ＧＰＸサイバーフォーミュラ
Future War 198X-nen,Future War Year 198X,Future War 198Xnen,Future War 198X年
Fuujin Monogatari,Windy Tales,Fuujin Monogatari,風人物語
Fuusen Shoujo Temple-chan,Temple the Balloonist,Fuusen Shoujo Temple-chan,風船少女テンプルちゃん
Fuuun Ishin Dai☆Shogun,Dai-Shogun: Great Revolution,fuuunishindai☆shoogun,風雲維新ダイ☆ショーグン
Fuyu no Hi,Winter Days,Fuyu no Hi,冬の日
Fw:Hamatora,Fw:Hamatora,Fw:hamatora,Fw：ハマトラ
G-On Riders,G-On Riders,G-on raidaasu,G-on らいだーす
G-senjou no Higeki,G-washing tragedy,G-senjou no Higeki,G線上の悲劇
GA: Geijutsuka Art Design Class,Ga: Geijyutsuka Art Deshigun Cass,GA: Geijutsuka Art Design Class,GA 芸術科アートデザインクラス
GJ-bu,GJ Club,GJ-bu,GJ-bu
GO-GO Tamagotchi!,Gogo egg t-ground!,GO-GO Tamagotchi!,GO-GO たまごっち！
GR: Giant Robo,GR: Giant Robo,GR -jaiantorobo-,GR -ジャイアントロボ-
GS Mikami: Gokuraku Daisakusen!!,Ghost Sweeper Mikami Movie,GS Mikami: Gokuraku Daisakusen!!,GS美神 極楽大作戦!!
Ga no Iru Tokoro,A Place Where There Are Moths,Ga no Iru Tokoro,蛾のいるところ
Ga-Rei: Zero,Ga-Rei-Zero,Ga-Rei: Zero,がーれい： ぜろ
Gad Guard,Gad Guard,gadogaado,ガドガード
Gaiking: Legend of Daiku-Maryu,Gaiking: Legend of Daiku-Maryu,gaikingu Legend of Daiku-Maryu,ガイキング Legend of Daiku-Maryu
Gaist Crusher,Gaist Crusher,gaisutokurasshaa,ガイストクラッシャー
Gake no Ue no Ponyo,Ponyo,Gake no Ue no Ponyo,崖の上のポニョ
Gakkatsu!,Gakkatsu!,Gakkatsu!,ガッ活!
Gakkatsu! 2nd Season,Gakkatsu! 2nd Season,Gakkatsu! 2nd Season,ガッ活！ 第2シーズン
Gakkou no Kaidan,Ghost Stories,Gakkou no Kaidan,学校の怪談
Gakkou no Kowai Uwasa Shin: Hanako-san ga Kita!!,School's scary rumor: Hanako-san is here! !,Gakkou no Kowai Uwasa Shin: Hanako-san ga Kita!!,学校のｺﾜｲうわさ 新・花子さんがきた!!
Gakkou no Kowai Uwasa: Hanako-san ga Kita!!,Scary High School Rumors,Gakkou no Kowai Uwasa: Hanako-san ga Kita!!,学校のコワイうわさ　花子さんがきた！！
Gakkougurashi!,School-Live!,Gakkougurashi!,がっこうぐらし！
Gakkyuu Ou Yamazaki,"King of Classroom, Yamazaki",Gakkyuu Ou Yamazaki,学級王ヤマザキ
Gakuen Alice,Gakuen Alice,gakuenarisu,学園アリス
Gakuen Heaven,Gakuen Heaven,Gakuen Heaven,学園ヘヴン
Gakuen Senki Muryou,Shingu: Secret of the Stellar Wars,Gakuen Senki Muryou,学園戦記ムリョウ
Gakuen Utopia Manabi Straight!,Gakuen Utopia Learning Straight!,Gakuen Utopia Manabi Straight!,がくえんゆーとぴあ まなびストレート！
Galactic Patrol Lensman,Galactic Patrol Lensman,GALACTIC PATROL renzuman,GALACTIC PATROL　レンズマン
Galaxy Angel,Galaxy Angel,gyarakushiienjieru,ギャラクシーエンジェル
Galaxy Angel 3,Galaxy Angel A,gyarakushiienjieruA; gyarakushiienjieruAA,ギャラクシーエンジェルＡ; ギャラクシーエンジェルＡＡ
Galaxy Angel 4,Galaxy Angel 4,gyarakushiienjieru4,ギャラクシーエンジェル4
Galaxy Angel Rune,Galaxy Angel Rune,gyarakushiienjieru~n,ギャラクシーエンジェる～ん
Galaxy Angel Z,Galaxy Angel Z,gyarakushiienjieruZ,ギャラクシーエンジェルＺ
Galilei Donna,Galilei Donna: Storia di tre sorelle a caccia di un mistero,garireidonna,ガリレイドンナ
Gall Force 1: Eternal Story,Gall Force 1: Eternal Story,garufoosu,ガルフォース
Gallery Fake,Gallery Fake,gyarariifeiku,ギャラリーフェイク
Gamba no Bouken,Adventure of Gamba,Gamba no Bouken,ガンバの冒険
Gamba: Gamba to Nakama-tachi,Air Bound,Gamba: Gamba to Nakama-tachi,GAMBA ガンバと仲間たち
Gambo,Gambo,Gambo,Gambo
Game Center Arashi,Game Center Arashi,geemusentaaarashi,ゲームセンターあらし
Ganbare Genki,Do your best and be healthy,Ganbare Genki,がんばれ元気
Ganbare Goemon,Legend of the Mystical Ninja,Ganbare Goemon,がんばれゴエモン
Ganbare Gonbe,Good luck Gombe,Ganbare Gonbe,がんばれゴンベ
Ganbare! Kickers,Fight! Kickers,ganbare!kikkaazu,がんばれ！キッカーズ
Ganbare-bu Next!,Ganbare Club Value xt!,Ganbare-bu Next!,ガンバレー部NEXT！
Ganbarist! Shun,Good luck st! season,Ganbarist! Shun,ガンバリスト! 駿
Gangsta.,Gangsta.,GANGSTA. gyangusuta,GANGSTA. ギャングスタ
Gankutsuou,Gankutsuou: The Count of Monte Cristo,Gankutsuou,岩窟王
Ganso Tensai Bakabon,Original Genius Bakabon,Ganso Tensai Bakabon,元祖天才バカボン
Gantz,Gantz,gantsu,ガンツ
Gantz 2nd Stage,Gantz: Second Stage,gantsu,ガンツ
Gantz:O,Gantz:O,Gantz:O,Gantz:O
Garakuta-doori no Stain,Mr. Stain on Junk Alley,Garakuta-doori no Stain,ガラクタ通りのステイン
Garo Movie: Divine Flame,Garo Movie: Divine Flame,gekijouban kibaookami<GARO>‐DIVINE FLAME‐,劇場版 牙狼〈GARO〉‐DIVINE FLAME‐
Garo: Guren no Tsuki,Garo: Crimson Moon,Garo: Guren no Tsuki,GARO 紅蓮ノ月
Garo: Honoo no Kokuin,GARO: THE ANIMATION,Garo: Honoo no Kokuin,牙狼〈GARO〉-炎の刻印-
Gasaraki,Gasaraki,gasaraki,ガサラキ
Gasshin Sentai Mechander Robo,Combining Squadron Mechander Robo,Gasshin Sentai Mechander Robo,合身戦隊メカンダーロボ
Gatapishi,Gatapishi,Gatapishi,ガタピシ
Gatchaman Crowds,Gatchaman Crowds,gatchaman kurauzu,ガッチャマン クラウズ
Gatchaman Crowds Insight,Gatchaman Crowds Insight,GATCHAMAN CROWDS insight(insaito),GATCHAMAN CROWDS insight（インサイト）
Gate Keepers,Gate Keepers,geetokiipaazu,ゲートキーパーズ
"Gate: Jieitai Kanochi nite, Kaku Tatakaeri",GATE,"Gate: Jieitai Kanochi nite, Kaku Tatakaeri",GATE（ゲート）自衛隊　彼の地にて、斯く戦えり
"Gate: Jieitai Kanochi nite, Kaku Tatakaeri 2nd Season","After: In my life, I will fight for the 2nd season.","Gate: Jieitai Kanochi nite, Kaku Tatakaeri 2nd Season",がて： じえいたい かのち にて、 かく たたかえり ２んｄ せあそん
Gear Fighter Dendoh,Gear Fighter Dendoh,GEARsenshi dendou,GEAR戦士 電童
Gedo Senki,Gedo Senki,Gedo Senki,Gedo Senki
Gegege no Kitarou (1968 Movie),Gegege no Kitaro (1968 Movie),Gegege no Kitarou (1968 Movie),ゲゲゲ の きたろう （１９６８ もヴィエ）
Gegege no Kitarou (1968),GeGeGe no Kitaro (1968),Gegege no Kitarou (1968),ゲゲゲの鬼太郎
Gegege no Kitarou (1971),GeGeGe no Kitaro (1971),Gegege no Kitarou (1971),ゲゲゲの鬼太郎
Gegege no Kitarou (1985),GeGeGe no Kitaro (1985),Gegege no Kitarou (1985),ゲゲゲの鬼太郎
Gegege no Kitarou (1996),Spooky Kitaro,Gegege no Kitarou (1996),ゲゲゲの鬼太郎
Gegege no Kitarou (2007),GeGeGe no Kitaro (2007),Gegege no Kitarou (2007),ゲゲゲの鬼太郎 (2007)
Gegege no Kitarou: Daikaijuu,Spooky Kitaro: Giant Sea Monster,Gegege no Kitarou: Daikaijuu,ゲゲゲの鬼太郎 大海獣
Gegege no Kitarou: Kitarou no Yuurei Densha,Gegege no Kitarou: Kitarou's Ghost Train,Gegege no Kitarou: Kitarou no Yuurei Densha,ゲゲゲの鬼太郎 鬼太郎の幽霊電車
Gegege no Kitarou: Nippon Bakuretsu,Spooky Kitaro: Japan Explodes!!,Gegege no Kitarou: Nippon Bakuretsu,劇場版 ゲゲゲの鬼太郎 日本爆裂!!
Geisters: Fractions of the Earth,Geisters: Fractions of the Earth,gaisutaazu FRACTIONS OF THE EARTH,ガイスターズ FRACTIONS OF THE EARTH
Gekitou! Crush Gear Turbo,Gekitou! Crush Gear Turbo,gekitou! kurasshugiaTURBO,激闘! クラッシュギアTURBO
Gekitou! Crush Gear Turbo: Kaizabaan no Chousen,Crush Gear Turbo The Movie - Kaiservern's Ultimate Challenge,Gekitou! Crush Gear Turbo: Kaizabaan no Chousen,激闘!クラッシュギアTURBO カイザバーンの挑戦
Gekkan Shoujo Nozaki-kun,Monthly Girls' Nozaki-kun,Gekkan Shoujo Nozaki-kun,月刊少女野崎くん
Gene Diver,Gene Diver,jiindaibaa,ジーンダイバー
Genei Toshi,Illusion City,Genei Toshi,ゲネ医 とし
Genei Toushi Bastof Lemon,BASToF Syndrome,gen'eitoushibasutofuremon,幻影闘士バストフレモン
Genei wo Kakeru Taiyou,Day Break Illusion,Genei wo Kakeru Taiyou,幻影ヲ駆ケル太陽
Generator Gawl,Generator Gawl,jienereitaagauru,ジェネレイターガウル
Geneshaft,Geneshaft,jiinshafuto,ジーンシャフト
Genius Party,Genius Party,jiiniasupaateii,ジーニアスパーティー
Genius Party Beyond,Genius Party Beyond,jiiniasupaateiibiyondo,ジーニアスパーティービヨンド
Genji Monogatari,Genji story,Genji Monogatari,源氏物語
Genji Monogatari Sennenki,Millennium Old Journal: Tale of Genji,Genji Monogatari Sennenki,源氏 物語 線延期
Genji Tsuushin Agedama,Genji communication fried balls,Genji Tsuushin Agedama,ゲンジ通信あげだま
Genki Bakuhatsu Ganbaruger,Energetic Bomb Ganbaruger,Genki Bakuhatsu Ganbaruger,元気爆発ガンバルガー
Genma Taisen,Harmagedon,Genma Taisen,幻魔大戦
Genma Taisen: Shinwa Zenya no Shou,Genma Wars,Genma Taisen: Shinwa Zenya no Shou,幻魔大戦－神話前夜の章
Genroku Koi Moyou: Sankichi to Osayo,Sankichi and Osayo: A Genroku Romance,Genroku Koi Moyou: Sankichi to Osayo,元禄恋模様 三吉とおさよ
Genshi Shounen Ryuu,Ryu the Primitive Boy,Genshi Shounen Ryuu,原始少年リュウ
Genshiken,Genshiken,Genshiken,げんしけん
Genshiken 2,Genshiken 2,Genshiken 2,げんしけん2
Genshiken Nidaime,Genshiken Second Season,Genshiken Nidaime,げんしけん 二代目
Gensoumaden Saiyuuki,Saiyuki,Gensoumaden Saiyuuki,幻想までん 西遊記
Gensoumaden Saiyuuki Movie: Requiem - Erabarezaru Mono e no Chinkonka,Saiyuki: Requiem,Gensoumaden Saiyuuki Movie: Requiem - Erabarezaru Mono e no Chinkonka,劇場版　幻想魔伝最遊記　Requiem　選ばれざる者への鎮魂歌
Geragera Boes Monogatari,Ox Tales,Geragera Boes Monogatari,げらげらブース物語
Get Ride! AMDriver,Get Ride! AMDriver,Get Ride! amudoraibaa,Get Ride! アムドライバー
GetBackers,Getbackers,gettobakkaazu dakkanya,ゲットバッカーズ　奪還屋
Getsumen To Heiki Mina,Moon surface and weapons everyone,Getsumen To Heiki Mina,月面兎兵器ミーナ
Getter Robo,Getter Robo,gettaarobo,ゲッターロボ
Getter Robo (Movie),Getter Robo (Movie),gettaarobo(eiga),ゲッターロボ（映画）
Getter Robo G,Getter Robo G,gettaaroboG,ゲッターロボG
Getter Robo Go,Getter Robo Go,gettaarobogou,ゲッターロボ號
Ghost Hunt,Ghost Hunt,goosutohanto,ゴーストハント
Ghost Sweeper GS Mikami,Ghost Sweeper GS Mikami,goosutosuiipaa GSbishin,ゴーストスイーパー GS美神
Ghost in the Shell,Ghost in the Shell,goosuto・in・za・shieru,ゴースト・イン・ザ・シェル
Ghost in the Shell (2015),Ghost in the Shell (2015),goosuto・in・za・shieru (2015),ゴースト・イン・ザ・シェル (2015)
Ghost in the Shell 2.0,Ghost in the Shell 2.0,koukakukidoutai2.0,攻殻機動隊2.0
Ghost in the Shell 2: Innocence,Ghost in the Shell 2: Innocence,koukakukidoutai2 inosensu,攻殻機動隊2 イノセンス
Ghost in the Shell: Arise - Alternative Architecture,Ghost in the Shell: Arise - Alternative Architecture,koukakukidoutaiARISE - orutanateibu・aakitekuchaa,攻殻機動隊ARISE - オルタナティブ・アーキテクチャー
Ghost in the Shell: Arise - Border:1 Ghost Pain,Ghost in the Shell: Arise - Border:1 Ghost Pain,koukakukidoutaiARISE - boodaa:1 goosutopein,攻殻機動隊ARISE - ボーダー:1 ゴーストペイン
Ghost in the Shell: Arise - Border:2 Ghost Whispers,Ghost in the Shell: Arise - Border:2 Ghost Whispers,koukakukidoutaiARISE - Border:2 Ghost Whispers,攻殻機動隊ARISE - Border:2 Ghost Whispers
Ghost in the Shell: Arise - Border:3 Ghost Tears,Ghost in the Shell: Arise - Border:3 Ghost Tears,koukakukidoutaiARISE - Border:3 Ghost Tears,攻殻機動隊ARISE - Border:3 Ghost Tears
Ghost in the Shell: Arise - Border:4 Ghost Stands Alone,Ghost in the Shell: Arise - Border:4 Ghost Stands Alone,koukakukidoutaiARISE - Border:4 Ghost Stands Alone,攻殻機動隊ARISE - Border:4 Ghost Stands Alone
Ghost in the Shell: Nyuumon Arise,Ghost in the Shell: Nyuumon Arise,koukakukidoutai nyuumonaraizu,攻殻機動隊 入門アライズ
Ghost in the Shell: Stand Alone Complex,Ghost in the Shell: Stand Alone Complex,koukakukidoutai STAND ALONE COMPLEX,攻殻機動隊 STAND ALONE COMPLEX
Ghost in the Shell: Stand Alone Complex - Solid State Society 3D,Ghost in the Shell: Stand Alone Complex - Solid State Society 3D,koukakukidoutai STAND ALONE COMPLEX - Solid State Society 3D,攻殻機動隊 STAND ALONE COMPLEX - Solid State Society 3D
Ghost in the Shell: Stand Alone Complex - Tachikoma na Hibi (TV),Ghost in the Shell: Stand Alone Complex - Tachikoma na Hibi (TV),koukakukidoutai STAND ALONE COMPLEX ~tachikomanahibi~ (TV),攻殻機動隊 STAND ALONE COMPLEX ～タチコマな日々～ (TV)
Ghost in the Shell: Stand Alone Complex 2nd GIG,Ghost in the Shell: Stand Alone Complex 2nd GIG,koukakukidoutai STAND ALONE COMPLEX 2nd GIG,攻殻機動隊 STAND ALONE COMPLEX 2nd GIG
Giant Gorg,Giant Gorg,kyojingoogu<jaiantogoogu>,巨神ゴーグ〈ジャイアントゴーグ〉
Giant Killing,Giant Killing,jaiantokiringu,ジャイアントキリング
Gifuu Doudou!!: Kanetsugu to Keiji,Gifu Dodo! ! : Kanetsugu and her girlfriend,Gifuu Doudou!!: Kanetsugu to Keiji,義風堂々!! 兼続と慶次
Gilgamesh,Gilgamesh,girugamesshu,ギルガメッシュ
Gin no Saji,Silver Spoon,Gin no Saji,銀の匙
Gin no Saji 2nd Season,Silver Spoon 2nd Season,ginnosaji,銀の匙
Ginban Kaleidoscope,Skating Rink Kaleidoscope,ginbankareidosukoopu,銀盤カレイドスコープ
Ginga Densetsu Weed,galaxy legend web picture d,Ginga Densetsu Weed,銀牙伝説ウィード
Ginga Eiyuu Densetsu Gaiden: Ougon no Tsubasa,Legend of the Galactic Heroes: Golden Wings,Ginga Eiyuu Densetsu Gaiden: Ougon no Tsubasa,銀河英雄伝説外伝　黄金の翼
Ginga Eiyuu Densetsu: Arata Naru Tatakai no Overture,Ginga Eiyuu Densetsu: Arata Naru Struggle no Owertsure,Ginga Eiyuu Densetsu: Arata Naru Tatakai no Overture,ぎんが えいゆう でんせつ： あらた なる たたかい の おゔぇｒつれ
Ginga Eiyuu Densetsu: Waga Yuku wa Hoshi no Taikai,Legend of the Galactic Heroes: My Conquest is the Sea of Stars,Ginga Eiyuu Densetsu: Waga Yuku wa Hoshi no Taikai,銀河英雄伝説: わが征くは星の大海
Ginga Hyouryuu Vifam,Ginga Hyouryuu Vifam,gingahyouryuubaifuamu,銀河漂流バイファム
Ginga Kikoutai Majestic Prince,Majestic Prince,gingakikoutai majiesuteikkupurinsu,銀河機攻隊 マジェスティックプリンス
Ginga Nagareboshi Gin,Silver Fang,Ginga Nagareboshi Gin,銀牙　流れ星銀
Ginga Patrol PJ,Ginga Patrol PJ,gingapatorooruPJ,銀河パトロールPJ
Ginga Reppuu Baxingar,Galactic Gale Baxingar,gingareppuubakushingaa,銀河烈風バクシンガー
Ginga Sengoku Gunyuuden Rai,Galaxy Warring State Chronicle Rai,Ginga Sengoku Gunyuuden Rai,銀河戦国群雄伝ライ
Ginga Senpuu Braiger,Galactic Cyclone Braiger,Ginga Senpuu Braiger,銀河旋風ブライガー
Ginga Shippuu Sasuraiger,Galactic Gale Sasuraiger,Ginga Shippuu Sasuraiger,銀河疾風サスライガー
Ginga Tetsudou 999,Galaxy Express 999,Ginga Tetsudou 999,銀河鉄道９９９
Ginga Tetsudou 999 (Movie),Galaxy Express 999,Ginga Tetsudou 999 (Movie),銀河鉄道９９９
Ginga Tetsudou 999: Diamond Ring no Kanata e,Galaxy Express 999: Beyond the Diamond Ring,Ginga Tetsudou 999: Diamond Ring no Kanata e,銀河鉄道999 ダイヤモンドリングの彼方へ
Ginga Tetsudou 999: Eternal Fantasy,Galaxy Express 999: Eternal Fantasy,gingatetsudou999 etaanarufuantajii,銀河鉄道９９９ エターナルファンタジー
Ginga Tetsudou 999: Glass no Clair,Galaxy Express 999: Claire of the Glass,Ginga Tetsudou 999: Glass no Clair,銀河鉄道９９９ ガラスのクレア
Ginga Tetsudou 999: Hoshizora wa Time Machine,Ginga Tetsudo 999: Hoshizora Wa Chime Machine,Ginga Tetsudou 999: Hoshizora wa Time Machine,銀河鉄道999 星空はタイムマシーン
Ginga Tetsudou Monogatari,The Galaxy Railways,Ginga Tetsudou Monogatari,銀河鉄道物語
Ginga Tetsudou Monogatari: Eien e no Bunkiten,The Galaxy Railways II,Ginga Tetsudou Monogatari: Eien e no Bunkiten,銀河鉄道物語 ～永遠への分岐点～
Ginga Tetsudou no Yoru,Night on the Galactic Railroad,Ginga Tetsudou no Yoru,銀河鉄道の夜
Ginga Tetsudou no Yoru: Fantasy Railroad in the Stars,According to Ginga Tetsudo: Fantasy Railowad Inte Stars,Ginga Tetsudou no Yoru: Fantasy Railroad in the Stars,銀河鉄道の夜 -Fantasy Railroad in the Stars-
Ginga e Kickoff!!,Victory Kickoff!!,gingahekikkuofu!!,銀河へキックオフ!!
Gingitsune,Gingitsune: Messenger Fox of the Gods,Gingitsune,ぎんぎつね
Giniro no Kami no Agito,Origin: Spirits of the Past,Giniro no Kami no Agito,銀色の髪のアギト
Ginsoukikou Ordian,Ginsoukikou Ordian,ginsoukikouoodian,銀装騎攻オーディアン
Gintama,Gintama,gintama,銀魂
Gintama Movie: Kanketsu-hen - Yorozuya yo Eien Nare,Gintama moie: Kanketsuhen - Yorozuya Yo Eien Nare,Gintama Movie: Kanketsu-hen - Yorozuya yo Eien Nare,ぎんたま もゔぃえ： かんけつーへん ー よろずや よ えいえん なれ
Gintama Movie: Shinyaku Benizakura-hen,Gintama Moie: Shinyaku Benizakurahen,Gintama Movie: Shinyaku Benizakura-hen,ぎんたま もゔぃえ： しにゃく べにざくらーへん
Gintama: Yorinuki Gintama-san on Theater 2D,Gintama: Yorinuki Gintama-san On Teater 2D,Gintama: Yorinuki Gintama-san on Theater 2D,銀魂 よりぬき銀魂さんオンシアター2D
Gintama°,Gintama Season 4,gintamagintama,銀魂°
Ginyuu Mokushiroku Meine Liebe,Fake Breasts Apocalypse Name Value Eebe,Ginyuu Mokushiroku Meine Liebe,吟遊黙示録 マイネリーベ
Ginyuu Mokushiroku Meine Liebe Wieder,Ginyuu Mokushiroku Meine Liebe Wieder,ginyuumokujirokumaineriibe viidaa,吟遊黙示録マイネリーベ ヴィーダー
Giovanni no Shima,Giovanni's Island,Giovanni no Shima,ジョバンニの島
Girlfriend (Kari),Girl Friend Beta,gaarufurendo(kari),ガールフレンド(仮)
Girls und Panzer,Girls und Panzer,Girls und Panzer,Girls und Panzer
Girls und Panzer der Film,Girls und Panzer der Film,Girls und Panzer der Film,Girls und Panzer der Film
Glass no Chikyuu wo Sukue Unico Tokubetsu-hen,Gas's Earth Square Unico Special Side,Glass no Chikyuu wo Sukue Unico Tokubetsu-hen,Gぁっs の 地球 を スクエ ウニコ 特別ー辺
Glass no Hana to Kowasu Sekai,Garakowa -Restore the World-,Glass no Hana to Kowasu Sekai,ガラスの花と壊す世界
Glass no Kamen,Glass no Kamen,garasunokamen,ガラスの仮面
Glass no Kamen (2005),Glass Mask,garasunokamen (2005),ガラスの仮面 (2005)
Glass no Kamen Desu ga,It's a gas mask.,Glass no Kamen Desu ga,Gぁっs の 仮面 です が
Glass no Kamen Desu ga the Movie: Onna Spy no Koi! Murasaki no Bara wa Kiken na Kaori!?,"It's Gass's Kamen, but it's a spy!: Ona Spy's Koi! The dangerous scent of purple roses! ?",Glass no Kamen Desu ga the Movie: Onna Spy no Koi! Murasaki no Bara wa Kiken na Kaori!?,Ｇぁっｓ の かめん です が てぇ もゔぃえ： おんあ Ｓｐｙ の こい！ むらさき の ばら わ きけん な かおり！？
Glass no Usagi,Glass Rabbit,garasunousagi,ガラスのうさぎ
Glasslip,Glasslip,gurasurippu,グラスリップ
Go! Go! 575,Go! Go! 575,go~!go~!go~shichigo~,ゴ～！ゴ～！ご～しちご～
Go! Go! Itsutsugo Land,5! word! quintuplets fan d,Go! Go! Itsutsugo Land,ゴーゴー五つ子ら・ん・ど
Go! Princess Precure,Go! Princess Pretty Cure,Go! purinsesupurikyua,Go! プリンセスプリキュア
Go! Princess Precure Movie: Go! Go!! Gouka 3-bondate!!!,Go! Princess Precure Movie: Go! Go!! Gouka 3-bondate!!!,eigaGo! purinsesupurikyua Go! Go!! gouka3hontatete!!!,映画Go! プリンセスプリキュア Go! Go!! 豪華3本立て!!!
Go-Q-Choji Ikkiman,Battle Ball,Go-Q-Choji Ikkiman,剛Q超児イッキマン
Go-hiki no Kozaru-tachi,Baby monkeys playing games,Go-hiki no Kozaru-tachi,五匹の子猿たち
Goal FH: Field Hunter,Goal Field Hunter,gooruFH (fiirudo・hantaa),ゴールFH (フィールド・ハンター)
Gochuumon wa Usagi Desu ka?,Are you ordering a Japanese rabbit?,Gochuumon wa Usagi Desu ka?,ご注文 和 うさぎ です か？
Gochuumon wa Usagi Desu ka??,Are you ordering a Japanese rabbit? ?,Gochuumon wa Usagi Desu ka??,ご注文 和 うさぎ です か？？
God Eater,God Eater,goddoiitaa,ゴッドイーター
God Mazinger,God Mazinger,goddomajingaa,ゴッドマジンガー
Gokiburi-tachi no Tasogare,Twilight of the Cockroaches,Gokiburi-tachi no Tasogare,ゴキブリたちの黄昏
Gokinjo Monogatari,Neighborhood Stories,Gokinjo Monogatari,ご近所物語
